Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
3.85	N0	combined	Drop	0	0	0	0
3.85	N1	combined	Drop	0	0	0	0
3.85	N2	combined	Drop	0	0	0	0
3.85	N3	combined	Drop	0	0	0	0
3.85	N4	combined	Drop	0	0	0	0
3.85	N5	combined	Drop	0	0	0	0
3.9	N0	combined	Drop	0	0	0	0
3.9	N1	combined	Drop	0	0	0	0
3.9	N2	combined	Drop	0	0	0	0
3.9	N3	combined	Drop	0	0	0	0
3.9	N4	combined	Drop	0	0	0	0
3.9	N5	combined	Drop	0	0	0	0
3.95	N0	combined	Drop	0	0	0	0
3.95	N1	combined	Drop	0	0	0	0
3.95	N2	combined	Drop	0	0	0	0
3.95	N3	combined	Drop	0	0	0	0
3.95	N4	combined	Drop	0	0	0	0
3.95	N5	combined	Drop	0	0	0	0
4	N0	combined	Drop	0	0	0	0
4	N1	combined	Drop	0	0	0	0
4	N2	combined	Drop	0	0	0	0
4	N3	combined	Drop	0	0	0	0
4	N4	combined	Drop	0	0	0	0
4	N5	combined	Drop	0	0	0	0
4.05	N0	combined	Drop	0	0	0	0
4.05	N1	combined	Drop	0	0	0	0
4.05	N2	combined	Drop	0	0	0	0
4.05	N3	combined	Drop	0	0	0	0
4.05	N4	combined	Drop	0	0	0	0
4.05	N5	combined	Drop	0	0	0	0
4.1	N0	combined	Drop	0	0	0	0
4.1	N1	combined	Drop	0	0	0	0
4.1	N2	combined	Drop	0	0	0	0
4.1	N3	combined	Drop	0	0	0	0
4.1	N4	combined	Drop	0	0	0	0
4.1	N5	combined	Drop	0	0	0	0
4.15	N0	combined	Drop	0	0	0	0
4.15	N1	combined	Drop	0	0	0	0
4.15	N2	combined	Drop	0	0	0	0
4.15	N3	combined	Drop	0	0	0	0
4.15	N4	combined	Drop	0	0	0	0
4.15	N5	combined	Drop	0	0	0	0
4.2	N0	combined	Drop	0	0	0	0
4.2	N1	combined	Drop	0	0	0	0
4.2	N2	combined	Drop	0	0	0	0
4.2	N3	combined	Drop	0	0	0	0
